,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
124,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Decision Tree,0.9111111111111111,0.615795090715048,0.7882117882117883
125,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Quadratic Discriminant,0.9777777777777777,0.91008991008991,0.9550449550449551
126,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,MPL Classifier,0.9444444444444444,0.7324613555291319,0.8076923076923077
127,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Gaussian Process,0.9555555555555556,0.7938144329896907,0.8461538461538461
128,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Random Forest Classifier,0.9444444444444444,0.7678018575851393,0.8716283716283717
129,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,KNN,0.9,0.5524861878453038,0.7497502497502497
130,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,SMV,0.8888888888888888,0.44375772558714466,0.6793206793206793
131,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Naive Bayes,0.9111111111111111,0.5876288659793814,0.7562437562437563
132,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Decision Tree,0.9,0.5820433436532508,0.7817182817182817
133,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9111111111111111,0.5876288659793814,0.7562437562437563
134,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,MPL Classifier,0.8888888888888888,0.44375772558714466,0.6793206793206793
135,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Gaussian Process,0.9,0.5184304399524375,0.7177822177822177
136,backache,2,"{'0': 155, '1': 25}",180,31,LDAcompNone,learning.unsupervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9,0.5820433436532508,0.7817182817182817
137,backache,2,"{'0': 155, '1': 25}",180,31,LDA,learning.supervised,transformation.linear,structure.global_structure,KNN,0.9,0.5524861878453038,0.7497502497502497
